H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
1759,1359,1165,1180,530,52.8,23.7,2.23,2.36,0.42,3.3,24.5
1764,1360,1162,1184,535,53.9,23.6,2.22,2.35,0.39,2.8,22.2
1769,1365,1168,1189,531,54.3,23.6,2.25,2.37,0.37,3.1,18.9
1772,1370,1176,1184,537,55.2,23.5,2.23,2.32,0.33,2.9,13.3
1791,1394,1210,1200,540,55.5,23.4,2.26,2.35,0.36,2.4,17.8
1803,1411,1224,1209,543,56.5,23.6,2.27,2.35,0.31,2.4,19.1
1826,1441,1260,1234,549,57.2,24,2.36,2.44,0.34,2.3,19.7
1836,1451,1264,1245,553,57,24.9,2.38,2.45,0.35,2.5,17.8
1869,1509,1333,1277,555,52.5,27.8,2.4,2.47,0.34,2.2,22.8
1875,1523,1351,1283,550,49.8,28.8,2.38,2.45,0.36,2.6,33.8
1962,1665,1511,1341,566,47,30.8,2.34,2.45,0.41,2.9,18.5
1957,1664,1511,1340,571,43.9,33.2,2.35,2.52,0.45,3.6,16.5
1919,1615,1454,1309,572,41.9,33.7,2.31,2.43,0.35,2,18.9
1912,1600,1442,1290,574,43.1,32.8,2.3,2.39,0.46,2,19.2
1823,1483,1308,1236,550,42.9,30.9,2.37,2.51,0.5,2.8,27.6
1799,1446,1267,1222,557,44.5,29.5,2.38,2.59,0.53,3.5,28.5
1786,1424,1246,1210,559,47.4,27.7,2.29,2.47,0.52,3.8,27.3
1776,1406,1217,1199,547,51.6,25.6,2.28,2.44,0.59,5,26.3
1793,1422,1236,1200,544,52.7,25.4,2.29,2.42,0.58,3.5,26.3
1790,1418,1232,1214,543,53.9,25.2,2.24,2.35,0.5,2.3,21.2
1799,1432,1249,1217,551,54.5,25,2.19,2.31,0.55,2.1,34.8
1793,1419,1233,1215,551,55.6,25,2.18,2.31,0.44,3,30.7
1807,1435,1255,1219,546,55.9,24.9,2.16,2.26,0.39,4.7,21.1
1775,1392,1202,1203,565,57.4,24.2,2.16,2.27,0.4,4.3,19.8
1778,1397,1205,1206,567,58.9,23.6,2.2,2.37,0.45,2.7,27.7
1799,1416,1231,1208,576,59.8,23.5,2.22,2.37,0.54,2,30.1
1806,1424,1244,1209,580,61.1,23.5,2.18,2.3,0.54,1.6,22.4
1797,1410,1228,1215,579,61.6,23.4,2.18,2.33,0.5,1.3,20.9
1786,1403,1219,1218,576,61.5,23.1,2.23,2.39,0.44,1.2,20.9
1781,1396,1209,1217,575,61.5,23.1,2.26,2.41,0.47,2.3,17.4
1838,1465,1287,1262,576,61.1,23.9,2.31,2.44,0.46,2.9,15.8
1820,1453,1270,1252,578,60,25.6,2.43,2.55,0.39,3.1,13.7
1827,1466,1286,1257,578,56.3,26.3,2.32,2.48,0.4,4.3,15
1876,1533,1362,1312,590,55.5,27.5,2.27,2.43,0.39,2.8,14.4
1838,1484,1307,1278,591,54.2,29.2,2.47,2.62,0.38,3.1,24.8
1817,1460,1289,1258,591,55.2,26.9,2.3,2.43,0.45,3.7,23.7
1826,1469,1297,1258,592,57.9,25.8,2.29,2.43,0.36,3.2,20
1855,1506,1341,1265,589,58.6,26.1,2.33,2.47,0.38,4,34.1
1844,1490,1323,1263,577,58.5,26.4,2.18,2.27,0.33,3.8,31.9
1828,1466,1296,1241,558,59.7,25.4,2.08,2.15,0.26,2.8,28.7
1811,1449,1273,1239,545,60.1,25.1,2.1,2.22,0.24,2.8,31.3
1806,1437,1258,1232,543,60.6,24.7,2.1,2.27,0.27,3.9,28.6
1800,1426,1246,1229,535,62.2,24.4,2.12,2.29,0.33,3.6,19.7
1789,1415,1231,1223,531,62.2,24.2,2.12,2.29,0.37,3.4,18.4
1773,1395,1214,1204,535,62.6,23.3,2.19,2.41,0.37,3.2,23.3
1794,1433,1266,1196,539,62.9,23,2.24,2.44,0.46,3.3,26.3
1777,1413,1245,1185,549,63.4,22.4,2.24,2.45,0.51,3.3,33.1
1776,1410,1236,1188,544,63.9,22.1,2.25,2.46,0.55,3.5,28.8
1788,1423,1255,1195,550,64,21.9,2.21,2.38,0.46,3.3,28.5
1772,1398,1228,1190,551,64.6,22.4,2.26,2.41,0.46,3.2,36.5
